split,mode,portfolio_value,target_frac,hold_frac,ann,sharpe,mdd,win_rate,avg_turnover,avg_executed_turnover,avg_names,avg_gross_weight,avg_market_mult,max_new_names,rebalance_band
validation,official,500000.0,0.006,0.1,84.08321400717975,1.8344453496822728,0.2106653179554184,53.11203319502075,0.2725089399326064,0.2725089399326064,29.13278008298755,0.7628554506479278,0.8082987551867219,5,0.2
validation,official,1000000.0,0.006,0.1,89.31395924569314,1.8793818723675064,0.2079180057801714,53.11203319502075,0.2793583914696749,0.2793583914696749,29.23236514522821,0.7807441449654399,0.8082987551867219,5,0.2
test,official,500000.0,0.006,0.1,84.32628818115226,2.9541700752329327,0.1428330056057641,58.84146341463414,0.2962434245544949,0.2962434245544949,29.57317073170732,0.834940607411045,0.9067073170731706,5,0.2
test,official,1000000.0,0.006,0.1,88.22945754729214,2.8877703152082788,0.1523578328499969,57.92682926829268,0.3107518687320758,0.3107518687320758,29.695121951219512,0.8667140991779485,0.9067073170731706,5,0.2
forward,official,500000.0,0.006,0.1,-61.02951132883173,-2.9968526173365566,0.1123186026471269,35.0,0.3128802566280618,0.3128802566280618,29.05,0.8120389094628626,0.97,5,0.2
forward,official,1000000.0,0.006,0.1,-52.2484932088126,-2.016943228751758,0.1178160908063269,35.0,0.3674446302138306,0.3674446302138306,30.1,0.8808586561111834,0.97,5,0.2
validation,ma3_040_m070,500000.0,0.006,0.1,77.20222382093469,1.7654135086663998,0.1911484438009061,53.11203319502075,0.2865223591189695,0.2865223591189695,29.13278008298755,0.7248147423572504,0.7672199170124481,5,0.2
validation,ma3_040_m070,1000000.0,0.006,0.1,83.56521636133492,1.8343476471710496,0.1866184979220907,53.11203319502075,0.2936519049645641,0.2936519049645641,29.23236514522821,0.7413660954623117,0.7672199170124481,5,0.2
validation,ma3_040_m085,500000.0,0.006,0.1,81.61280128025143,1.8230472004235672,0.1967081950827834,52.28215767634856,0.2658384022755818,0.2658384022755818,29.13278008298755,0.7395900674539743,0.7877593360995849,5,0.2
validation,ma3_040_m085,1000000.0,0.006,0.1,86.65228718132376,1.86412822733435,0.1987399680155684,52.28215767634856,0.2720869053458732,0.2720869053458732,29.23236514522821,0.7585945075521773,0.7877593360995849,5,0.2
validation,ma3_035_m085,500000.0,0.006,0.1,83.33020520110203,1.8374834514622889,0.2039487318899541,52.28215767634856,0.2697183852903095,0.2697183852903095,29.13278008298755,0.7505912865416967,0.7952282157676349,5,0.2
validation,ma3_035_m085,1000000.0,0.006,0.1,88.23541450009509,1.8776785439936643,0.2043085324301562,52.69709543568465,0.2756869026899305,0.2756869026899305,29.23236514522821,0.7685694509883438,0.7952282157676349,5,0.2
test,ma3_035_m085,500000.0,0.006,0.1,84.63080011514326,2.9908457107218576,0.141119744958582,58.84146341463414,0.2939017643929099,0.2939017643929099,29.5640243902439,0.8269555416210917,0.897560975609756,5,0.2
test,ma3_035_m085,1000000.0,0.006,0.1,87.0674606439641,2.8897126261768475,0.1520827555454247,57.92682926829268,0.3077813645467269,0.3077813645467269,29.6890243902439,0.8579985258971295,0.897560975609756,5,0.2
forward,ma3_035_m085,500000.0,0.006,0.1,-55.24900303424937,-2.7112309268549364,0.103141447423365,35.0,0.3091584170507495,0.3091584170507495,29.05,0.7789954280010887,0.9325,5,0.2
forward,ma3_035_m085,1000000.0,0.006,0.1,-45.02572958109078,-1.6745262957152325,0.1071414190546912,35.0,0.3625140260156342,0.3625140260156342,30.1,0.8503522014805684,0.9325,5,0.2
