path,rows_sampled,ann,sharpe,mdd,split,target_frac,hold_frac,market_timing_mode,checkpoint,predictor,window,weight_mode,period,portfolio_value,execution_lag,min_adv_cny,adv_participation_cap,alpha_jsonl,rebalance_band,return_mode,dynamic_min_mult,strategy,model,source,reliability,scenario,transform,mode
backtest_results_test_plan_fixed_names_avgw3_test\yearly_summary.csv,6,114.1327006152082,3.2688941520241968,0.1028276475166223,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\final_legacy_test_target3_hold50_open_to_open_exec1m_2xcost\yearly_summary.csv,3,85.53524784719104,3.253336272679817,0.0798221492140172,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p60\yearly_summary.csv,12,81.82630932439243,3.2509531237245484,0.0796745677546603,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w25_75_open_to_open_exec1m_cap5_min20\yearly_summary.csv,12,86.4543316130165,3.2492489187378903,0.0831580484166578,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_test_plan_v9_avgw3_test\v9_retention_summary.csv,2,89.1471543337644,3.1748147470168746,0.1313899870871707,test,0.03,0.4,legacy,checkpoints_exp_topfocus_w005_topic/ultimate_v7_best.pt,v9_raw_persistent_average_w3,3.0,equal,,,,,,,,,,,,,,,,
backtest_result_snapshots\20260531_model_strategy_comparison_summary.csv,126,89.1471543337644,3.1748147470168746,0.1313899870871707,test,0.03,0.4,,,,,,,,,,,,,,,retention target0.030/hold0.400,V9 topfocus average_w3,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv,same_engine_full_cost,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv,30,89.1471543337644,3.1748147470168746,0.1313899870871707,test,0.03,0.4,legacy,checkpoints_exp_topfocus_w005_topic\ultimate_v7_best.pt,v9_raw_persistent_average_w3,3.0,equal,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\yearly_summary.csv,90,85.7995072797175,3.146313854412352,0.0885462389662462,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m\yearly_summary.csv,6,91.42378066800768,3.1231664587842185,0.085922890965632,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m_holdgrid\yearly_summary.csv,15,91.42378066800768,3.1231664587842185,0.085922890965632,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_min20_lag1_hold50\yearly_summary.csv,3,87.82346231632607,3.107656235819618,0.0897109980177002,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\avgw3_test_execution_sensitivity_20260531\yearly_summary.csv,162,88.39043150894173,3.0630295431755834,0.0857239389302144,,,,,,,,,2026,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w50_50_open_to_open_exec1m_cap5_min20\yearly_summary.csv,12,84.96625227804574,3.0591290361010537,0.0853417287537255,,,,,,,,,2026,,,,,,,,,,,,,,,
