path,ann,sharpe,mdd,split,model,strategy,scenario,transform,portfolio_value,target_frac,hold_frac,return_mode,execution_lag,market_timing_mode,dynamic_min_mult,min_adv_cny,adv_participation_cap,rebalance_band,predictor,weight_mode,reliability
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p03\open_execution_summary.csv,73.19280407792321,2.7236300196892897,0.1524773137522483,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p04\open_execution_summary.csv,73.19280407792321,2.7236300196892897,0.1524773137522483,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_holdfine_mw0p05\open_execution_summary.csv,73.19280407792321,2.7236300196892897,0.1524773137522483,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min20_rerun\open_execution_summary.csv,73.19280407792321,2.7236300196892897,0.1524773137522483,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,73.19280407792321,2.7236300196892897,0.1524773137522483,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_execution_sensitivity_20260531\execution_constraint_sweep_summary.csv,71.82386225267356,2.712608928798628,0.1340188525059571,,,,,,100000000.0,0.03,0.4,,,legacy,,10000000.0,0.03,,,,
backtest_results_v9_retention_20260531\avgw3_test_execution_sensitivity_20260531\top_by_sharpe.csv,71.82386225267356,2.712608928798628,0.1340188525059571,,,,,,100000000.0,0.03,0.4,,,legacy,,10000000.0,0.03,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min5\open_execution_summary.csv,72.38500187726969,2.708921110257979,0.1517156458402816,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,5000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min10\open_execution_summary.csv,72.24034222279994,2.7050043545586044,0.1519067552008072,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,10000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_dynamic_min0p60\open_execution_summary.csv,68.14880819821872,2.6724489676024863,0.1464149234913986,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,dynamic,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy\v9_retention_summary.csv,64.21658938833215,2.665402916267107,0.127911676236104,test,,,,,,0.2,0.8,,,legacy,,,,,v9_raw_persistent_average_w3,equal,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m\execution_constrained_summary.csv,70.19659538157632,2.661201753700563,0.1337859077552856,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m_holdgrid\execution_constrained_summary.csv,70.19659538157632,2.661201753700563,0.1337859077552856,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
locked_candidate_confirmation_20260614\confirmation_summary.csv,74.65738929625812,2.6453272138153365,0.1258528706097012,,frozen_v9,,lag1,,1000000.0,0.006,0.1,,1.0,legacy,,,,0.2,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_open_to_open_exec1m_summary.csv,71.16613238069245,2.6443082166915266,0.1579047267095643,test,,,,,1000000.0,0.03,0.6,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w25_75_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,71.16613238069245,2.6443082166915266,0.1579047267095643,,,,,,1000000.0,0.03,0.6,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_min20_lag1\execution_constrained_summary.csv,68.59241408498842,2.619795649835982,0.1364349951731965,,,,,,100000000.0,0.03,0.4,,1.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\final_legacy_test_target3_hold50_open_to_open_exec1m_2xcost\open_execution_summary.csv,67.26684236025461,2.557217275500378,0.1541790561864783,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_test_plan_small_account_avgw3_test\execution_constraint_sweep_summary.csv,67.14051992769936,2.552136969162964,0.1344084865324949,,,,,,500000.0,0.03,0.3,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_small_account_avgw3_test\top_by_sharpe.csv,67.14051992769936,2.552136969162964,0.1344084865324949,,,,,,500000.0,0.03,0.3,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_open_to_open_exec1m_cap5_min50\open_execution_summary.csv,65.2893062380281,2.519352784209121,0.1562456140342396,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,legacy,,50000000.0,0.05,,,,
backtest_results_v9_retention_20260531\avgw3_test_target3_execution_cap5_adv20m_hold3040_cost2x\execution_constrained_summary.csv,63.11206984442235,2.455562051569125,0.1356186651091069,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\raw_test_target3_execution_cap5_adv20m_holdgrid\execution_constrained_summary.csv,61.85943422785185,2.405194287894637,0.1243438960752054,,,,,,100000000.0,0.03,0.5,,,legacy,,20000000.0,0.05,,,,
reranker_confirmation_20260615\meta_gate_v41\summary.csv,52.33243681433248,2.3901228016947607,0.1092073216062735,,v41,,base,,1000000.0,0.006,0.1,,0.0,legacy,,,,0.2,,,
backtest_results_v9_retention_20260531\avgw3_test_targetfine_open_to_open_exec1m_cap5_min20_market_none\open_execution_summary.csv,78.0918554423162,2.376943996880759,0.1911635370134022,,,,,,1000000.0,0.03,0.5,open_to_open,0.0,none,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\v9v10_rankens_exec100m_cap5_min20_summary.csv,58.40042492537663,2.3541804951532947,0.1267085137338404,test,,,,,,,,,,,,,,,,,
backtest_results_v9_retention_20260531\v9v10_rankens_test_w75_25_exec100m_cap5_min20\execution_constrained_summary.csv,58.40042492537663,2.3541804951532947,0.1267085137338404,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
backtest_results_test_plan_fixed_names_avgw3_test\execution_constraint_sweep_summary.csv,75.2322790624866,2.3387290777126744,0.1921292506886847,,,,,,500000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_test_plan_fixed_names_avgw3_test\top_by_sharpe.csv,75.2322790624866,2.3387290777126744,0.1921292506886847,,,,,,500000.0,0.004,0.06,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_blend_raw75_avg25_hold100_test\ledger\execution_constraint_sweep_summary.csv,65.9351284632323,2.3116756070991618,0.1280183795996569,,,,,,500000.0,0.004,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_exp_blend_raw75_avg25_hold100_test\ledger\top_by_sharpe.csv,65.9351284632323,2.3116756070991618,0.1280183795996569,,,,,,500000.0,0.004,0.1,,0.0,legacy,,3000000.0,0.05,,,,
backtest_results_v9_retention_20260531\raw_test_target3_execution_cap5_adv20m\execution_constrained_summary.csv,60.15020432487317,2.3109348386960047,0.1268487928769744,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\raw_avgw3_rankblend_test_w50_50_open_to_open_exec1m_cap5_min20\open_execution_summary.csv,59.05114151151179,2.282686871401639,0.1643640788915737,,,,,,1000000.0,0.035,0.6,open_to_open,0.0,legacy,,20000000.0,0.05,,,,
backtest_results_v9_retention_20260531\v9v10_rankens_test_w50_50_exec100m_cap5_min20\execution_constrained_summary.csv,56.59309399576318,2.28018080267133,0.1253508917923138,,,,,,100000000.0,0.03,0.4,,,legacy,,20000000.0,0.05,,,,
