name,kind,class,action,target,reason
backtest_results_switch_cache_smoke_write,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_top3_pv1m_raw_alpha_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_top3_pv1m_raw_newmodel_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_alpha_baseline_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_alpha_baseline_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_avgw3_alpha_val_pv1m,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_avgw3_switch_val_pv1m,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_baseline_layer_smoke,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_baseline_layer_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_switch_value_20260604_v9_baseline_layer_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_temporal_full_eval_20260604,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_temporal_retention_20260604_v10_v9warm_toploss,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_fixed_names_avgw3_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_fixed_names_avgw3_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_avgw3_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_avgw3_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_candidate_sweep_val,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_primary_stress_2x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_primary_stress_3x,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_primary_stress_lag1,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_primary_test,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
backtest_results_test_plan_share_ledger_smoke,dir,experiment_output,archive_candidate,archive/experiments_202606,classified as experiment_output
