model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.125/hold0.400,0.125,0.4,legacy,val,46.91945546563272,1.333044291317585,0.1448799990913047,0.1713540087402446,10.02377762893503,0.0350725195978683,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.500,0.1,0.5,legacy,val,45.454860114509565,1.3019604182164817,0.1492580837647298,0.1403617443231671,12.420419174102513,0.0286974108072754,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.125/hold0.500,0.125,0.5,legacy,val,43.33625378480335,1.2654313572180602,0.1486516862375905,0.1409241885166406,12.346753568187443,0.0288131055778729,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.500,0.2,0.5,legacy,val,41.70961869287873,1.2462779310522063,0.1453169374014362,0.1440973240860081,12.033559407184123,0.0294658195644918,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.500,0.15,0.5,legacy,val,42.00182585145005,1.2427783413904474,0.1500068328258043,0.1416519562041911,12.257780507780508,0.0289628073912021,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.600,0.075,0.6,legacy,val,41.96011932482142,1.2261298328238208,0.1602502476641623,0.1150974907608861,15.31291588466132,0.0235005538495142,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.600,0.03,0.6,legacy,val,42.55375904023831,1.215350671734267,0.1745302258258885,0.1166353686898062,15.124525116082737,0.0238168953394931,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.500,0.25,0.5,legacy,val,39.92552434233201,1.2148385183738135,0.1450551893430397,0.1465988836019774,11.789479900783496,0.0299803903569267,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.500,0.3,0.5,legacy,val,39.74577428812454,1.2134156576560602,0.1419156379283964,0.1496586510434911,11.508070714834744,0.0306097845196461,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.125/hold0.600,0.125,0.6,legacy,val,40.54903924851983,1.2097137616476432,0.1501237175000558,0.1145762727708461,15.40928747940692,0.023393339308963,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.600,0.1,0.6,legacy,val,40.56081866376884,1.201852972422507,0.1557587319106228,0.1148168138676883,15.402470406587751,0.0234428186125834,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.600,0.15,0.6,legacy,val,39.99647032451734,1.2012378324737292,0.1489239528776627,0.1149928046615999,15.332166638210689,0.0234790199188911,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.600,0.05,0.6,legacy,val,41.20113402239453,1.1981385897068186,0.1691883124734746,0.1155253222855601,15.26288922919857,0.0235885587941397,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.600,0.25,0.6,legacy,val,38.97750447966568,1.1947753239633143,0.1461372172864383,0.1171862921609416,14.996043669871796,0.0239302202975057,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.600,0.2,0.6,legacy,val,39.30162197063143,1.194660233313705,0.1500280665964027,0.1157875950173222,15.211990346754732,0.0236425082950631,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.500,0.4,0.5,legacy,val,38.33191504440614,1.1880253734773158,0.1386498529062012,0.1614791484607852,10.550833461784071,0.0330412608383835,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.600,0.3,0.6,legacy,val,37.78356293716865,1.1739387988521286,0.1470786600947334,0.1184202419819654,14.802389289392378,0.0241840437756902,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.600,0.4,0.6,legacy,val,36.76641897504245,1.15598874269942,0.1438393963174677,0.122786825336493,14.175887573964497,0.0250822499717166,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.700,0.1,0.7,legacy,val,37.88363492307272,1.1461533055567894,0.1567738205241277,0.091550291810519,19.62426229508197,0.0186568950254237,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.700,0.3,0.7,legacy,val,36.24159778403244,1.1395700266092383,0.149024304899916,0.0924590408781079,19.36869340232859,0.0188438247086267,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.700,0.15,0.7,legacy,val,37.19915562445577,1.139320588369357,0.1505512231387095,0.0911176404089136,19.71254527494238,0.0185678986321135,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.700,0.25,0.7,legacy,val,36.319017071961966,1.1352747190518038,0.1496022179836944,0.0919861236585742,19.513913326816557,0.0187465456365687,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.700,0.2,0.7,legacy,val,35.95100283981325,1.1186595748101595,0.1509077644953557,0.0912709576327729,19.67214191852825,0.0185994359850613,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.700,0.4,0.7,legacy,val,34.97855778040697,1.1180490294550316,0.1480658499272344,0.0939016313875087,19.01293599460339,0.0191405655764105,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.800,0.3,0.8,legacy,val,34.00816079836198,1.0880718282397135,0.1499455897421459,0.0693688048120381,26.66033536132957,0.0140941631498362,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.800,0.1,0.8,legacy,val,34.890078255331545,1.082395492614883,0.1474381087489154,0.0700566170566296,26.194310722100656,0.0142356461285487,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.800,0.15,0.8,legacy,val,34.3079562986168,1.0744907670812276,0.1514647206011677,0.0698053480732866,26.39250551065393,0.014183960098675,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.800,0.4,0.8,legacy,val,32.972960441876985,1.0712524015208906,0.1506319113136909,0.0693897461578064,26.611774507081368,0.0140984707846607,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.800,0.25,0.8,legacy,val,33.457566242185386,1.0703122500527014,0.1519001775802953,0.0691515022968299,26.73819090990267,0.0140494640224579,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.800,0.2,0.8,legacy,val,33.51926046574884,1.0625519755687929,0.1518886547212311,0.0693640120490971,26.599444752915048,0.0140931772784992,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.900,0.15,0.9,legacy,val,32.86628018637228,1.041839944938459,0.1483821950087931,0.0471534373619156,41.24018369690012,0.009524462065346,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.900,0.1,0.9,legacy,val,32.376852630120844,1.023960024020901,0.1539632663625315,0.0477927649213511,40.49661705006766,0.0096559717443219,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.900,0.2,0.9,legacy,val,31.264106943876023,1.01173163916575,0.1496685345869304,0.0463715199017111,42.05196629213483,0.0093636216437819,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V10 rank ensemble 5590+5591,retention target0.200/hold0.800,0.2,0.8,legacy,val,33.97396478226771,1.0117072528379436,0.1735750513666152,0.0652781462564181,28.726920674578388,0.0132527146849452,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_val_legacy\temporal_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.900,0.25,0.9,legacy,val,30.80693269216264,1.0045210596198444,0.1518441312686629,0.0461952446485243,42.35374823196605,0.0093273618242014,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.300/hold0.900,0.3,0.9,legacy,val,30.46566420247745,1.001502642075678,0.1515567292079701,0.0460147025615732,42.670466690416816,0.0092902243169156,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V10 seed5590,retention target0.300/hold0.800,0.3,0.8,legacy,val,32.65292257361387,0.991358482898356,0.167256263899736,0.0715429217772231,26.00233662470792,0.0145413790095747,same_engine_full_cost,h3h5h7_longonly_val_market_legacy_t30h80
V10 rank ensemble 5590+5591,retention target0.300/hold0.800,0.3,0.8,legacy,val,31.93811837292262,0.9859447406802948,0.1650035166982928,0.0661690292682896,28.3019936007876,0.0134359693204871,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_val_legacy\temporal_retention_summary.csv
V9 topfocus average_w3,retention target0.400/hold0.900,0.4,0.9,legacy,val,29.32522105869215,0.9819028648331186,0.1521819195725646,0.0457310570752391,43.015082143819015,0.0092318784403766,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_widegrid\v9_retention_summary.csv
V10 seed5590,retention target0.200/hold0.800,0.2,0.8,legacy,val,32.72039742013819,0.9725705583616696,0.173885411455439,0.0702195589111626,26.720776202649315,0.0142691632680261,same_engine_full_cost,h3h5h7_longonly_val_market_legacy_one
V10 rank ensemble 5590+5591,retention target0.300/hold0.900,0.3,0.9,legacy,val,30.091377008922105,0.9529763249510572,0.1643468660615195,0.043539532335641,45.80098247477429,0.0087810818014413,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_val_legacy\temporal_retention_summary.csv
V10 seed5590,retention target0.200/hold0.900,0.2,0.9,legacy,val,31.300888078063814,0.9481430707021504,0.1758682613952322,0.0464838897637661,42.6244670991659,0.0093867361244066,same_engine_full_cost,h3h5h7_longonly_val_market_legacy_hold90
V10 rank ensemble 5590+5591,retention target0.200/hold0.900,0.2,0.9,legacy,val,30.292217377785448,0.9390115546958852,0.1719577055947125,0.0435641601182112,45.79032258064516,0.008786147736316,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_val_legacy\temporal_retention_summary.csv
