model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.050/hold0.600,0.05,0.6,legacy,test,78.44100632504806,2.944442452758389,0.1323112239125594,0.1323159993293222,15.535790910864051,0.0356274832181457,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.600,0.03,0.6,legacy,test,80.04914493771848,2.938441957273991,0.1346176475753764,0.1336337188940241,15.346413637825668,0.0359847828781146,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.600,0.1,0.6,legacy,test,74.94555625200749,2.9256383759270586,0.1261705858372688,0.1300340697069342,15.831115965051628,0.0350087380010352,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.600,0.075,0.6,legacy,test,75.79058218943584,2.9232287713788008,0.128866326807993,0.1305476380336252,15.759557078829422,0.0351479920528174,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.500,0.1,0.5,legacy,test,74.74496252070071,2.9208091647680763,0.1253588307209765,0.1622916413871507,12.34618660472319,0.0437553785621259,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.250,0.15,0.25,legacy,test,73.34910404864712,2.9175814100459445,0.1189011917309902,0.3063332083024147,6.214654926101977,0.0828122494311997,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.300,0.15,0.3,legacy,test,73.14380652748966,2.915352977372611,0.1192906638944479,0.2644783940267393,7.268303056078741,0.0714633165403503,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.500,0.2,0.5,legacy,test,70.3769978953887,2.8905819390856267,0.1164923868729056,0.1667602344154991,11.969091113695187,0.0449670375617625,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.125/hold0.600,0.125,0.6,legacy,test,72.2040769444759,2.877077583831788,0.1259729624442518,0.1301859041530433,15.819790509442946,0.0350499079110976,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.600,0.15,0.6,legacy,test,69.87349401303833,2.8395590287924977,0.1231158989179472,0.130382519926356,15.781149000725543,0.0351032202780314,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.200/hold0.600,0.2,0.6,legacy,test,67.88551179152995,2.814242110386248,0.1181978579160356,0.1313159291416153,15.641372549019607,0.0353563141867489,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.700,0.1,0.7,legacy,test,71.37293783692542,2.806043876984321,0.1333029644324088,0.1015555628367236,21.122135382169823,0.0272867908631776,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.250/hold0.500,0.25,0.5,legacy,test,66.63474138068905,2.801457219765872,0.1162297247231282,0.1704910202327942,11.670704233593726,0.0459786401361221,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
