strategy,signal_top_pct,run_top_frac,variant,mode,ann_raw,sharpe_raw,mdd_raw,ann_neu,sharpe_neu,mdd_neu,avg_universe,avg_long_count,avg_short_count,avg_long_pct,avg_short_pct
avg_score,0.1,0.1,long_top_10pct,simple_long_long_top_10pct,30.449101995938243,1.305067403666384,0.1862200537205561,23.75481489322837,1.4608021697740041,0.13491804372400465,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.1,long_top_10pct,optimizer_projected_long_long_top_10pct,30.254478400418684,1.33490999686628,0.18374377533757363,23.982816161606003,1.502913815314077,0.1328707737669641,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.1,long_top_10pct,optimizer_mvo_long_ra0p1_long_top_10pct,26.2956730234285,1.2269222002593836,0.18041630446002155,19.888721254670827,1.3277160354775084,0.1338304160380841,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.05,long_top_5pct,simple_long_long_top_5pct,30.43405530204315,1.2904119605002122,0.20210855471726563,23.92809405031098,1.4355767318100872,0.13537029675486228,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.05,long_top_5pct,optimizer_projected_long_long_top_5pct,30.987522163801493,1.3481725876210855,0.2001580706994891,24.81338728613678,1.514075402250456,0.1315308848964344,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.05,long_top_5pct,optimizer_mvo_long_ra0p1_long_top_5pct,24.708748028954574,1.18163024482335,0.18286023808764168,18.479532058556416,1.2641627394502322,0.13367567968083907,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.03,long_top_3pct,simple_long_long_top_3pct,29.192877716288468,1.238309788883384,0.2146678204865463,22.663511682625213,1.3481155031126735,0.13073850100729553,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.03,long_top_3pct,optimizer_projected_long_long_top_3pct,29.920666870040492,1.3061196320541009,0.21162425137365232,23.778947476566547,1.4503013251508903,0.12576087182020687,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.03,long_top_3pct,optimizer_mvo_long_ra0p1_long_top_3pct,23.921362771251985,1.172718315225249,0.18894186933256477,17.734299273797482,1.2498410698417906,0.12676973288023452,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
avg_score,0.1,0.02,long_top_2pct,simple_long_long_top_2pct,25.48680544029751,1.1145003832245042,0.2188230794036797,18.86465031679554,1.151437704644933,0.13818158799246757,4935.212903225806,493.0709677419355,493.0709677419355,0.09990884544778791,0.09990884544778791
