split,mode,portfolio_value,target_frac,hold_frac,ann,sharpe,mdd,win_rate,avg_turnover,avg_executed_turnover,avg_names,avg_gross_weight,avg_market_mult,max_new_names,rebalance_band,avg_effective_target_frac
validation,official,500000.0,0.006,0.1,84.08321400717975,1.8344453496822728,0.2106653179554184,53.11203319502075,0.2725089399326064,0.2725089399326064,29.13278008298755,0.7628554506479278,0.8082987551867219,5,0.2,
validation,official,1000000.0,0.006,0.1,89.31395924569314,1.8793818723675064,0.2079180057801714,53.11203319502075,0.2793583914696749,0.2793583914696749,29.23236514522821,0.7807441449654399,0.8082987551867219,5,0.2,
test,official,500000.0,0.006,0.1,84.32628818115226,2.9541700752329327,0.1428330056057641,58.84146341463414,0.2962434245544949,0.2962434245544949,29.57317073170732,0.834940607411045,0.9067073170731706,5,0.2,
test,official,1000000.0,0.006,0.1,88.22945754729214,2.8877703152082788,0.1523578328499969,57.92682926829268,0.3107518687320758,0.3107518687320758,29.695121951219512,0.8667140991779485,0.9067073170731706,5,0.2,
forward,official,500000.0,0.006,0.1,-61.02951132883173,-2.9968526173365566,0.1123186026471269,35.0,0.3128802566280618,0.3128802566280618,29.05,0.8120389094628626,0.97,5,0.2,
forward,official,1000000.0,0.006,0.1,-52.2484932088126,-2.016943228751758,0.1178160908063269,35.0,0.3674446302138306,0.3674446302138306,30.1,0.8808586561111834,0.97,5,0.2,
validation,breadth_ma3_040_r004,500000.0,0.006,0.1,82.97482239139259,1.8112721035870103,0.1983974311546798,50.20746887966805,0.4016663847796177,0.4016663847796177,25.96265560165975,0.7701671302859767,0.8082987551867219,5,0.2,0.0053609958506224
validation,breadth_ma3_040_r004,1000000.0,0.006,0.1,86.46700074669688,1.8351987773674407,0.2013514801757597,50.20746887966805,0.4099445583655154,0.4099445583655154,26.03734439834025,0.7868733605618785,0.8082987551867219,5,0.2,0.0053609958506224
validation,breadth_ma3_040_r003,500000.0,0.006,0.1,68.62607167306605,1.5789674789742263,0.2171560565431491,51.037344398340245,0.4943460472357551,0.4943460472357551,24.394190871369293,0.7719906689544087,0.8082987551867219,5,0.2,0.0050414937759336
validation,breadth_ma3_040_r003,1000000.0,0.006,0.1,71.95464222212375,1.607413372951314,0.2221966167089649,51.037344398340245,0.5034976732875157,0.5034976732875157,24.439834024896264,0.7887382722817949,0.8082987551867219,5,0.2,0.0050414937759336
validation,breadth_ma5_040_r004,500000.0,0.006,0.1,81.60399592045297,1.7781006395035566,0.2174760778639816,51.45228215767634,0.3704091922904234,0.3704091922904234,26.29045643153527,0.7683011292757981,0.8082987551867219,5,0.2,0.0054273858921161
validation,breadth_ma5_040_r004,1000000.0,0.006,0.1,84.97432005426329,1.8041177412538705,0.2175602252303695,51.45228215767634,0.3783964498926049,0.3783964498926049,26.369294605809127,0.7854367170566381,0.8082987551867219,5,0.2,0.0054273858921161
validation,state_w5_true_r004,500000.0,0.006,0.1,86.6352671480376,1.8794241338281423,0.203854680183681,51.867219917012456,0.3324038523418828,0.3324038523418828,27.846473029045644,0.7666719695156538,0.8082987551867219,5,0.2,0.0057427385892116
validation,state_w5_true_r004,1000000.0,0.006,0.1,89.34111215315752,1.8939974000569648,0.2098683642211004,51.867219917012456,0.3398924864810639,0.3398924864810639,27.95020746887967,0.7829365061533842,0.8082987551867219,5,0.2,0.0057427385892116
test,state_w5_true_r004,500000.0,0.006,0.1,75.01554521879828,2.636293351362857,0.1547816977299209,56.70731707317073,0.3204759822463711,0.3204759822463711,28.86890243902439,0.8369922204940055,0.9067073170731706,5,0.2,0.0058597560975609
test,state_w5_true_r004,1000000.0,0.006,0.1,77.38375454218334,2.556101186321889,0.1696388696852453,56.70731707317073,0.3353169647946357,0.3353169647946357,28.996951219512194,0.8680644251753831,0.9067073170731706,5,0.2,0.0058597560975609
forward,state_w5_true_r004,500000.0,0.006,0.1,-58.69996701474793,-2.561001393335676,0.1199487530107078,45.0,0.457533847108493,0.457533847108493,23.65,0.8272967841940714,0.97,5,0.2,0.0049
forward,state_w5_true_r004,1000000.0,0.006,0.1,-40.64143934789175,-1.249406560243974,0.1130143505367235,45.0,0.5200899716861357,0.5200899716861357,24.25,0.8918690474844582,0.97,5,0.2,0.0049
