split,portfolio_value,ann,sharpe,mdd,avg_turnover,blocked_buy,blocked_sell,candidate,role,scenario
test,500000.0,73.27667084944854,2.665976979818548,0.1461186455769947,0.2955738197118596,2.0,4.0,edge_r030_100,first_stability_candidate,cost2x
test,500000.0,72.75511102222589,2.651834274556611,0.1461186455769947,0.2953506518023457,2.0,4.0,edge_r030_120,stability_watch_candidate,cost2x
test,500000.0,72.91171824130112,2.6553767036959166,0.1461186455769947,0.2954805197227043,2.0,4.0,main_candidate,official_baseline,cost2x
test,500000.0,72.91171824130112,2.6553767036959166,0.1461186455769947,0.2954805197227043,2.0,4.0,market_switch,conservative_watch_candidate,cost2x
test,500000.0,75.63452149253769,2.7203024607778032,0.1429551987110958,0.2954457826769,2.0,4.0,negfilter_r030_100_drop3,first_attack_candidate,cost2x
test,1000000.0,75.8267634145132,2.5863794101095325,0.154970877002375,0.3105180794094013,2.0,4.0,edge_r030_100,first_stability_candidate,cost2x
test,1000000.0,75.50589427116276,2.580113367172713,0.154970877002375,0.309981918637945,2.0,4.0,edge_r030_120,stability_watch_candidate,cost2x
test,1000000.0,75.81024729256671,2.5856409800339235,0.154970877002375,0.3101282719907909,2.0,4.0,main_candidate,official_baseline,cost2x
test,1000000.0,75.81024729256671,2.5856409800339235,0.154970877002375,0.3101282719907909,2.0,4.0,market_switch,conservative_watch_candidate,cost2x
test,1000000.0,78.53240740367282,2.633648912716612,0.1575484934164852,0.3101289036103983,2.0,4.0,negfilter_r030_100_drop3,first_attack_candidate,cost2x
val,500000.0,71.43631119746645,1.6484351439099365,0.2204217228056362,0.2737572822088598,7.0,4.0,edge_r030_100,first_stability_candidate,cost2x
val,500000.0,72.1426879866348,1.6581148922048474,0.2158486347692213,0.2736994170754011,7.0,4.0,edge_r030_120,stability_watch_candidate,cost2x
val,500000.0,70.40337161847259,1.6308174792981354,0.2237192959549063,0.2733710924525771,7.0,4.0,main_candidate,official_baseline,cost2x
val,500000.0,70.77656139417057,1.6365831599657328,0.2234382489153614,0.2735752516574493,7.0,4.0,market_switch,conservative_watch_candidate,cost2x
val,500000.0,70.59628447196415,1.6294958955196142,0.2225571755398602,0.27279747522165,7.0,5.0,negfilter_r030_100_drop3,first_attack_candidate,cost2x
val,1000000.0,74.8955079006588,1.673733115727153,0.2182961989019461,0.2802997608115852,7.0,4.0,edge_r030_100,first_stability_candidate,cost2x
val,1000000.0,75.28343526682531,1.6799194266605175,0.2170722579154565,0.2802980522351029,7.0,4.0,edge_r030_120,stability_watch_candidate,cost2x
val,1000000.0,74.5502693286156,1.6675165051730414,0.2221501513390825,0.2801124268658264,7.0,4.0,main_candidate,official_baseline,cost2x
val,1000000.0,75.02589763658783,1.6729309491095106,0.2225336729427482,0.2801405625038559,7.0,4.0,market_switch,conservative_watch_candidate,cost2x
val,1000000.0,74.43093763823316,1.660859952522243,0.2255107972589645,0.2801808320149409,7.0,5.0,negfilter_r030_100_drop3,first_attack_candidate,cost2x
test,500000.0,78.64119017968999,2.8192411458340016,0.1380512049709333,0.2952595142277385,5.0,2.0,edge_r030_100,first_stability_candidate,lag1
test,500000.0,79.3501667394246,2.83527256262153,0.1380512049709333,0.2959038957392649,5.0,2.0,edge_r030_120,stability_watch_candidate,lag1
test,500000.0,78.5943089380306,2.8177602385910863,0.1380512049709333,0.2955116079431963,5.0,2.0,main_candidate,official_baseline,lag1
test,500000.0,78.5943089380306,2.8177602385910863,0.1380512049709333,0.2955116079431963,5.0,2.0,market_switch,conservative_watch_candidate,lag1
test,500000.0,80.28001351981213,2.86790046452083,0.1357440453092253,0.2962849036853001,5.0,2.0,negfilter_r030_100_drop3,first_attack_candidate,lag1
test,1000000.0,85.54289948375077,2.851522012888842,0.1448763907343219,0.3096832368710451,5.0,2.0,edge_r030_100,first_stability_candidate,lag1
test,1000000.0,86.4252719208168,2.874290602124973,0.1448763907343219,0.3098704990901663,5.0,2.0,edge_r030_120,stability_watch_candidate,lag1
test,1000000.0,85.86501001805009,2.859066770908181,0.1448763907343219,0.3097867909133569,5.0,2.0,main_candidate,official_baseline,lag1
test,1000000.0,85.86501001805009,2.859066770908181,0.1448763907343219,0.3097867909133569,5.0,2.0,market_switch,conservative_watch_candidate,lag1
test,1000000.0,87.8444502847715,2.9049453676422425,0.1434251833238617,0.3097603995365109,6.0,2.0,negfilter_r030_100_drop3,first_attack_candidate,lag1
val,500000.0,47.54131049734449,1.2350087467999162,0.2214563336731741,0.2721019738660752,10.0,6.0,edge_r030_100,first_stability_candidate,lag1
val,500000.0,47.97999498665915,1.2436462416406997,0.2192039412608552,0.2719642677337923,10.0,6.0,edge_r030_120,stability_watch_candidate,lag1
val,500000.0,46.38815439692729,1.2149724369549249,0.2242110224243801,0.2718127392560194,10.0,6.0,main_candidate,official_baseline,lag1
val,500000.0,47.00349525288223,1.225069529472507,0.224312900809262,0.2720126398846796,10.0,6.0,market_switch,conservative_watch_candidate,lag1
val,500000.0,49.035963704873154,1.259507861448499,0.2176077003383209,0.2719850790434527,10.0,6.0,negfilter_r030_100_drop3,first_attack_candidate,lag1
