candidate,role,portfolio_value,ann_test,ann_val,mdd_test,mdd_val,sharpe_test,sharpe_val
edge_r030_100,first_stability_candidate,500000.0,84.29766805359864,80.88810949768242,0.1428330056057641,0.2067445039563865,2.953289272261693,1.7885939953544858
edge_r030_100,first_stability_candidate,1000000.0,88.2143893873107,84.78097724471337,0.1523578328499969,0.2035789514461395,2.8869158868909324,1.817719986059306
edge_r030_120,stability_watch_candidate,500000.0,84.26789691447225,81.90533751325191,0.1428330056057641,0.2024645291585729,2.952791983144232,1.8050134863876532
edge_r030_120,stability_watch_candidate,1000000.0,87.56441861266195,84.94646083504843,0.1523578328499969,0.2025409311322136,2.8726504116423834,1.8206129955039256
main_candidate,official_baseline,500000.0,84.32628818115226,79.79347902186498,0.1428330056057641,0.2106653179554184,2.9541700752329327,1.7714430518751163
main_candidate,official_baseline,1000000.0,88.22945754729214,84.85079367334664,0.1523578328499969,0.2079180057801714,2.8877703152082788,1.8169538762133024
market_switch,conservative_watch_candidate,500000.0,84.32628818115226,80.48384631322834,0.1428330056057641,0.209185692384928,2.9541700752329327,1.7813342635493938
market_switch,conservative_watch_candidate,1000000.0,88.22945754729214,85.22216771197557,0.1523578328499969,0.2079005214624452,2.8877703152082788,1.8221514922206807
negfilter_r030_100_drop3,first_attack_candidate,500000.0,87.0340291006972,80.50681992810044,0.1394303900899012,0.210505997657236,3.009446578594989,1.7772190262376235
negfilter_r030_100_drop3,first_attack_candidate,1000000.0,91.0811882768413,84.8720306771245,0.1553791091888499,0.21086237404379,2.926839827818054,1.81234118181932
